repo_name,stars,contributors,language,engagement_ratio,contributors_per_1k_stars,expected_contributors,contributors_delta_vs_trend,outlier_score,trend_bucket,snapshot_date_utc
openclaw/openclaw,374534,2355,TypeScript,0.006288,6.288,1234.984,1120.016,5.395713,above_trend,2026-05-25
obra/superpowers,205767,33,Shell,0.00016,0.16,644.396,-611.396,-2.94542,below_trend,2026-05-25
ultraworkers/claw-code,192466,25,Rust,0.00013,0.13,597.85,-572.85,-2.759724,below_trend,2026-05-25
affaan-m/ECC,191636,194,JavaScript,0.001012,1.012,594.945,-400.945,-1.931568,below_trend,2026-05-25
NousResearch/hermes-agent,166529,1323,Python,0.007945,7.945,507.085,815.915,3.930697,above_trend,2026-05-25
multica-ai/andrej-karpathy-skills,153476,7,Sin especificar,4.6e-05,0.046,461.407,-454.407,-2.189121,below_trend,2026-05-25
anthropics/skills,140501,13,Python,9.3e-05,0.093,416.002,-403.002,-1.941475,below_trend,2026-05-25
github/spec-kit,105694,202,Python,0.001911,1.911,294.197,-92.197,-0.444163,near_trend,2026-05-25
msitarzewski/agency-agents,104922,72,Shell,0.000686,0.686,291.496,-219.496,-1.057428,below_trend,2026-05-25
mattpocock/skills,104515,2,Shell,1.9e-05,0.019,290.071,-288.071,-1.387794,below_trend,2026-05-25
garrytan/gstack,102011,10,TypeScript,9.8e-05,0.098,281.309,-271.309,-1.30704,below_trend,2026-05-25
VoltAgent/awesome-design-md,83863,4,Sin especificar,4.8e-05,0.048,217.801,-213.801,-1.029994,below_trend,2026-05-25
karpathy/autoresearch,83232,9,Python,0.000108,0.108,215.593,-206.593,-0.995269,near_trend,2026-05-25
nextlevelbuilder/ui-ux-pro-max-skill,82514,31,Python,0.000376,0.376,213.08,-182.08,-0.877179,near_trend,2026-05-25
farion1231/cc-switch,80394,122,Rust,0.001518,1.518,205.662,-83.662,-0.403043,near_trend,2026-05-25
thedotmack/claude-mem,77968,108,TypeScript,0.001385,1.385,197.172,-89.172,-0.429589,near_trend,2026-05-25
paperclipai/paperclip,67542,102,TypeScript,0.00151,1.51,160.687,-58.687,-0.282726,near_trend,2026-05-25
ruvnet/RuView,65670,28,Rust,0.000426,0.426,154.136,-126.136,-0.607665,near_trend,2026-05-25
JuliusBrussee/caveman,64514,29,JavaScript,0.00045,0.45,150.091,-121.091,-0.583358,near_trend,2026-05-25
gsd-build/get-shit-done,63695,141,JavaScript,0.002214,2.214,147.225,-6.225,-0.029988,near_trend,2026-05-25
shareAI-lab/learn-claude-code,62503,25,Python,0.0004,0.4,143.053,-118.053,-0.568726,near_trend,2026-05-25
666ghj/MiroFish,62444,5,Python,8e-05,0.08,142.847,-137.847,-0.664082,near_trend,2026-05-25
ComposioHQ/awesome-claude-skills,61709,29,Python,0.00047,0.47,140.275,-111.275,-0.53607,near_trend,2026-05-25
code-yeongyu/oh-my-openagent,59348,272,TypeScript,0.004583,4.583,132.013,139.987,0.674394,near_trend,2026-05-25
ruvnet/ruflo,54911,26,TypeScript,0.000473,0.473,116.486,-90.486,-0.435918,near_trend,2026-05-25
koala73/worldmonitor,54888,75,TypeScript,0.001366,1.366,116.405,-41.405,-0.199471,near_trend,2026-05-25
