repo_name,stars,contributors,language,engagement_ratio,contributors_per_1k_stars,expected_contributors,contributors_delta_vs_trend,outlier_score,trend_bucket,snapshot_date_utc
openclaw/openclaw,320293,1287,TypeScript,0.004018,4.018,1182.011,104.989,0.966531,near_trend,2026-03-17
anomalyco/opencode,124110,823,TypeScript,0.006631,6.631,436.269,386.731,3.560264,above_trend,2026-03-17
google-gemini/gemini-cli,98123,582,TypeScript,0.005931,5.931,337.485,244.515,2.251011,above_trend,2026-03-17
anthropics/skills,95957,9,Python,9.4e-05,0.094,329.252,-320.252,-2.948253,below_trend,2026-03-17
obra/superpowers,92164,30,Shell,0.000326,0.326,314.834,-284.834,-2.622192,below_trend,2026-03-17
affaan-m/everything-claude-code,82995,98,JavaScript,0.001181,1.181,279.98,-181.98,-1.675316,below_trend,2026-03-17
github/spec-kit,77862,118,Python,0.001516,1.516,260.468,-142.468,-1.311568,below_trend,2026-03-17
openai/codex,65906,381,Rust,0.005781,5.781,215.02,165.98,1.528016,above_trend,2026-03-17
Zie619/n8n-workflows,52997,38,Python,0.000717,0.717,165.95,-127.95,-1.177912,below_trend,2026-03-17
msitarzewski/agency-agents,51659,46,Shell,0.00089,0.89,160.864,-114.864,-1.057441,below_trend,2026-03-17
upstash/context7,49485,114,TypeScript,0.002304,2.304,152.6,-38.6,-0.355352,near_trend,2026-03-17
karpathy/nanochat,49253,51,Python,0.001035,1.035,151.718,-100.718,-0.927214,near_trend,2026-03-17
sansan0/TrendRadar,49156,2,Python,4.1e-05,0.041,151.349,-149.349,-1.374915,below_trend,2026-03-17
OpenCut-app/OpenCut,46877,95,TypeScript,0.002027,2.027,142.686,-47.686,-0.439001,near_trend,2026-03-17
ComposioHQ/awesome-claude-skills,45196,13,Python,0.000288,0.288,136.296,-123.296,-1.13507,below_trend,2026-03-17
nextlevelbuilder/ui-ux-pro-max-skill,44084,28,Python,0.000635,0.635,132.069,-104.069,-0.958066,near_trend,2026-03-17
bmad-code-org/BMAD-METHOD,41095,124,JavaScript,0.003017,3.017,120.707,3.293,0.030313,near_trend,2026-03-17
tw93/Mole,40904,60,Shell,0.001467,1.467,119.981,-59.981,-0.55219,near_trend,2026-03-17
code-yeongyu/oh-my-openagent,40855,164,TypeScript,0.004014,4.014,119.795,44.205,0.406953,near_trend,2026-03-17
karpathy/autoresearch,40369,8,Python,0.000198,0.198,117.948,-109.948,-1.012182,below_trend,2026-03-17
koala73/worldmonitor,40059,56,TypeScript,0.001398,1.398,116.769,-60.769,-0.559444,near_trend,2026-03-17
VoltAgent/awesome-openclaw-skills,38917,63,Sin especificar,0.001619,1.619,112.428,-49.428,-0.455038,near_trend,2026-03-17
ruvnet/RuView,37797,8,Rust,0.000212,0.212,108.171,-100.171,-0.922176,near_trend,2026-03-17
thedotmack/claude-mem,37644,71,TypeScript,0.001886,1.886,107.589,-36.589,-0.336841,near_trend,2026-03-17
google/langextract,34769,17,Python,0.000489,0.489,96.661,-79.661,-0.733358,near_trend,2026-03-17
asgeirtj/system_prompts_leaks,34537,18,HTML,0.000521,0.521,95.779,-77.779,-0.716033,near_trend,2026-03-17
HKUDS/nanobot,34281,177,Python,0.005163,5.163,94.806,82.194,0.756686,near_trend,2026-03-17
KeygraphHQ/shannon,33902,6,TypeScript,0.000177,0.177,93.365,-87.365,-0.804284,near_trend,2026-03-17
666ghj/MiroFish,32600,2,Python,6.1e-05,0.061,88.416,-86.416,-0.795545,near_trend,2026-03-17
gsd-build/get-shit-done,32235,66,JavaScript,0.002047,2.047,87.028,-21.028,-0.193586,near_trend,2026-03-17
Fission-AI/OpenSpec,31594,45,TypeScript,0.001424,1.424,84.592,-39.592,-0.364481,near_trend,2026-03-17
wshobson/agents,31524,43,Python,0.001364,1.364,84.325,-41.325,-0.380444,near_trend,2026-03-17
bytedance/deer-flow,31468,128,Python,0.004068,4.068,84.113,43.887,0.40403,near_trend,2026-03-17
shareAI-lab/learn-claude-code,30453,2,TypeScript,6.6e-05,0.066,80.254,-78.254,-0.720412,near_trend,2026-03-17
ChromeDevTools/chrome-devtools-mcp,29779,64,TypeScript,0.002149,2.149,77.692,-13.692,-0.126051,near_trend,2026-03-17
farion1231/cc-switch,29382,68,Rust,0.002314,2.314,76.183,-8.183,-0.075334,near_trend,2026-03-17
microsoft/playwright-mcp,29131,63,TypeScript,0.002163,2.163,75.229,-12.229,-0.112581,near_trend,2026-03-17
hesreallyhim/awesome-claude-code,28820,16,Python,0.000555,0.555,74.047,-58.047,-0.534382,near_trend,2026-03-17
datawhalechina/hello-agents,28162,68,Python,0.002415,2.415,71.546,-3.546,-0.032641,near_trend,2026-03-17
paperclipai/paperclip,28016,50,TypeScript,0.001785,1.785,70.991,-20.991,-0.19324,near_trend,2026-03-17
zeroclaw-labs/zeroclaw,27680,176,Rust,0.006358,6.358,69.713,106.287,0.978479,near_trend,2026-03-17
lbjlaq/Antigravity-Manager,26500,48,Rust,0.001811,1.811,65.228,-17.228,-0.158601,near_trend,2026-03-17
hesamsheikh/awesome-openclaw-usecases,25724,24,Sin especificar,0.000933,0.933,62.278,-38.278,-0.35239,near_trend,2026-03-17
zama-ai/fhevm,25692,65,Rust,0.00253,2.53,62.156,2.844,0.026178,near_trend,2026-03-17
github/awesome-copilot,25682,278,Python,0.010825,10.825,62.118,215.882,1.987414,above_trend,2026-03-17
