repo_name,language,stars,forks,created_at,description
x1xhlol/system-prompts-and-models-of-ai-tools,Sin especificar,102602,27255,2025-03-05T16:38:29Z,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, L"
deepseek-ai/DeepSeek-R1,Sin especificar,91611,11771,2025-01-20T11:57:28Z,
google-gemini/gemini-cli,TypeScript,88823,10219,2025-04-17T17:04:31Z,An open-source AI agent that brings the power of Gemini directly into your terminal.
github/spec-kit,Python,58134,5067,2025-08-21T22:54:31Z,💫 Toolkit to help you get started with Spec-Driven Development
openai/codex,Rust,54765,6975,2025-04-13T05:37:54Z,Lightweight coding agent that runs in your terminal
FoundationAgents/OpenManus,Python,51484,8989,2025-03-06T14:08:14Z,"No fortress, purely open ground.  OpenManus is Coming."
anthropics/claude-code,Shell,49021,3462,2025-02-22T17:41:21Z,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and he"
Zie619/n8n-workflows,Python,48547,5653,2025-05-14T08:43:59Z,all of the workflows of n8n i could find (also from the site itself)
OpenCut-app/OpenCut,TypeScript,44639,4396,2025-06-22T08:02:17Z,The open-source CapCut alternative
sst/opencode,TypeScript,42877,3674,2025-04-30T20:08:00Z,The open source coding agent.
sansan0/TrendRadar,Python,40683,20951,2025-04-28T11:42:16Z,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对
upstash/context7,TypeScript,40213,1986,2025-03-26T23:40:39Z,Context7 MCP Server -- Up-to-date code documentation for LLMs and AI code editors
karpathy/nanochat,Python,39347,4997,2025-10-13T13:46:35Z,The best ChatGPT that $100 can buy.
anthropics/skills,Python,27842,2546,2025-09-22T15:53:31Z,Public repository for Agent Skills
bmad-code-org/BMAD-METHOD,JavaScript,26263,3696,2025-04-13T14:54:25Z,Breakthrough Method for Agile Ai Driven Development
zama-ai/fhevm,Rust,26019,2414,2025-05-02T10:48:20Z,"FHEVM, a full-stack framework for integrating Fully Homomorphic Encryption (FHE) with blockchain app"
huggingface/open-r1,Python,25760,2407,2025-01-24T15:44:11Z,Fully open reproduction of DeepSeek-R1
github/github-mcp-server,Go,25458,3279,2025-03-04T16:42:04Z,GitHub's official MCP Server
microsoft/playwright-mcp,TypeScript,24816,2022,2025-03-21T17:48:36Z,Playwright MCP server
simstudioai/sim,TypeScript,24545,3060,2025-01-05T22:47:49Z,Open-source platform to build and deploy AI agent workflows.
asgeirtj/system_prompts_leaks,Roff,24495,3740,2025-05-03T02:43:56Z,"Collection of extracted System Prompts from popular chatbots like ChatGPT, Claude & Gemini"
eyaltoledano/claude-task-master,JavaScript,24460,2370,2025-03-04T18:54:54Z,"An AI-powered task-management system you can drop into Cursor, Lovable, Windsurf, Roo, and others."
huggingface/agents-course,MDX,24423,1720,2025-01-16T19:50:22Z,This repository contains the Hugging Face Agents Course. 
Fosowl/agenticSeek,Python,24174,2650,2025-02-19T18:03:06Z,"Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses"
musistudio/claude-code-router,TypeScript,24105,1899,2025-02-25T02:17:18Z,"Use Claude Code as the foundation for coding infrastructure, allowing you to decide how to interact "
permissionlesstech/bitchat,Swift,23651,2195,2025-07-04T14:34:38Z,"bluetooth mesh chat, IRC vibes"
wshobson/agents,Python,23637,2617,2025-07-24T23:28:14Z,Intelligent automation and multi-agent orchestration for Claude Code
firecrawl/open-lovable,TypeScript,23068,4466,2025-08-08T13:04:02Z,🔥 Clone and recreate any website as a modern React app in seconds
apple/container,Swift,22970,570,2025-05-30T21:26:05Z,A tool for creating and running Linux containers using lightweight virtual machines on a Mac. It is 
deepseek-ai/DeepSeek-OCR,Python,21629,1937,2025-10-17T06:14:27Z,Contexts Optical Compression
a2aproject/A2A,Shell,21223,2168,2025-03-25T18:44:21Z,An open protocol enabling communication and interoperability between opaque agentic applications.
toon-format/toon,TypeScript,21172,930,2025-10-22T18:17:32Z,"🎒 Token-Oriented Object Notation (TOON) – Compact, human-readable, schema-aware JSON for LLM prompts"
bytedance/UI-TARS-desktop,TypeScript,20128,1923,2025-01-19T09:04:43Z,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra
tw93/Mole,Shell,19905,545,2025-09-23T06:38:40Z,🐹 Deep clean and optimize your Mac.
zai-org/Open-AutoGLM,Python,19702,3144,2025-12-08T09:23:44Z,An Open Phone Agent Model & Framework. Unlocking the AI Phone for Everyone
SuperClaude-Org/SuperClaude_Framework,Python,19514,1696,2025-06-22T12:03:53Z,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, a"
winfunc/opcode,TypeScript,19502,1498,2025-06-19T13:53:26Z,"A powerful GUI app and Toolkit for Claude Code - Create custom agents, manage interactive Claude Cod"
google/langextract,Python,19486,1359,2025-07-08T20:46:06Z,A Python library for extracting structured information from unstructured text using LLMs with precis
openai/gpt-oss,Python,19478,1999,2025-06-23T16:43:33Z,gpt-oss-120b and gpt-oss-20b are two open-weight language models by OpenAI
PicoTrex/Awesome-Nano-Banana-images,Sin especificar,19237,2008,2025-08-28T17:03:09Z,"A curated collection of fun and creative examples generated with Nano Banana & Nano Banana Pro🍌, Gem"
OpenListTeam/OpenList,Go,19220,1587,2025-06-11T23:35:02Z,A new AList Fork to Anti Trust Crisis
coze-dev/coze-studio,TypeScript,19181,2719,2025-06-26T02:19:21Z,"An AI agent development platform with all-in-one visual tools, simplifying agent creation, debugging"
microsoft/VibeVoice,Python,19111,2118,2025-08-25T13:24:01Z,Open-Source Frontier Voice AI
nari-labs/dia,Python,18994,1655,2025-04-19T07:15:57Z,A TTS model capable of generating ultra-realistic dialogue in one pass.
dyad-sh/dyad,TypeScript,18867,2108,2025-04-11T06:33:48Z,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!"
bytedance/deer-flow,Python,18837,2358,2025-05-07T02:50:19Z,"DeerFlow is a community-driven Deep Research framework, combining language models with tools like we"
hesreallyhim/awesome-claude-code,Python,18732,1064,2025-04-19T20:55:59Z,"A curated list of awesome commands, files, and workflows for Claude Code"
basecamp/omarchy,Shell,18656,1833,2025-06-01T07:26:22Z,"Beautiful, Modern & Opinionated Linux"
camel-ai/owl,Python,18500,2142,2025-03-03T15:42:51Z,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation
usestrix/strix,Python,18267,1876,2025-08-05T21:28:30Z,Open-source AI agents for penetration testing
dzhng/deep-research,TypeScript,18250,1885,2025-02-04T01:27:56Z,"An AI-powered research assistant that performs iterative, deep research on any topic by combining se"
linshenkx/prompt-optimizer,TypeScript,18167,2266,2025-02-12T06:06:49Z,一款提示词优化器，助力于编写高质量的提示词
resemble-ai/chatterbox,Python,18116,2403,2025-04-23T08:16:38Z,SoTA open-source TTS
openai/openai-agents-python,Python,18008,3018,2025-03-11T03:42:36Z,"A lightweight, powerful framework for multi-agent workflows"
ChromeDevTools/chrome-devtools-mcp,TypeScript,18007,1115,2025-09-11T10:39:55Z,Chrome DevTools for coding agents
oraios/serena,Python,17759,1218,2025-03-23T22:35:24Z,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & 
Alibaba-NLP/DeepResearch,Python,17748,1363,2025-01-09T11:07:35Z,"Tongyi Deep Research, the Leading Open-source Deep Research Agent"
google-gemini/gemini-fullstack-langgraph-quickstart,Jupyter Notebook,17591,2999,2025-05-22T11:59:02Z,Get started with building Fullstack Agents using Gemini 2.5 and LangGraph
humanlayer/12-factor-agents,TypeScript,17308,1325,2025-03-30T22:10:39Z,What are the principles we can use to build LLM-powered software that is actually good enough to put
TibixDev/winboat,TypeScript,17224,443,2025-04-04T12:03:11Z,Run Windows apps on 🐧 Linux with ✨ seamless integration
enescingoz/awesome-n8n-templates,Sin especificar,17152,4973,2025-05-08T18:34:01Z,Supercharge your workflow automation with this curated collection of n8n templates! Instantly connec
index-tts/index-tts,Python,17136,2069,2025-02-06T04:08:05Z,An Industrial-Level Controllable and Efficient Zero-Shot Text-To-Speech System
QwenLM/qwen-code,TypeScript,16782,1447,2025-06-26T01:37:46Z,An open-source AI agent that lives in your terminal.
google/adk-python,Python,16736,2681,2025-04-01T20:44:40Z,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI a"
charmbracelet/crush,Go,16417,973,2025-05-21T12:14:57Z,The glamourous AI coding agent for your favourite terminal 💘
lllyasviel/FramePack,Python,16408,1599,2025-04-12T14:45:22Z,Lets make video diffusion practical!
