repo_name,stars,contributors,language,engagement_ratio,contributors_per_1k_stars,expected_contributors,contributors_delta_vs_trend,outlier_score,trend_bucket,snapshot_date_utc
openclaw/openclaw,322952,1289,TypeScript,0.003991,3.991,1179.284,109.716,1.006066,above_trend,2026-03-19
anomalyco/opencode,124777,823,TypeScript,0.006596,6.596,433.239,389.761,3.574002,above_trend,2026-03-19
google-gemini/gemini-cli,98266,585,TypeScript,0.005953,5.953,333.436,251.564,2.306771,above_trend,2026-03-19
anthropics/skills,96895,9,Python,9.3e-05,0.093,328.275,-319.275,-2.927663,below_trend,2026-03-19
obra/superpowers,96110,30,Shell,0.000312,0.312,325.32,-295.32,-2.708,below_trend,2026-03-19
affaan-m/everything-claude-code,85524,98,JavaScript,0.001146,1.146,285.468,-187.468,-1.719029,below_trend,2026-03-19
github/spec-kit,78248,119,Python,0.001521,1.521,258.077,-139.077,-1.275296,below_trend,2026-03-19
openai/codex,66136,381,Rust,0.005761,5.761,212.48,168.52,1.545279,above_trend,2026-03-19
msitarzewski/agency-agents,54039,46,Shell,0.000851,0.851,166.94,-120.94,-1.108988,below_trend,2026-03-19
Zie619/n8n-workflows,53033,38,Python,0.000717,0.717,163.153,-125.153,-1.147619,below_trend,2026-03-19
upstash/context7,49654,114,TypeScript,0.002296,2.296,150.433,-36.433,-0.334076,near_trend,2026-03-19
karpathy/nanochat,49422,51,Python,0.001032,1.032,149.559,-98.559,-0.90376,near_trend,2026-03-19
sansan0/TrendRadar,49234,3,Python,6.1e-05,0.061,148.851,-145.851,-1.337417,below_trend,2026-03-19
OpenCut-app/OpenCut,47069,95,TypeScript,0.002018,2.018,140.701,-45.701,-0.419066,near_trend,2026-03-19
ComposioHQ/awesome-claude-skills,45733,13,Python,0.000284,0.284,135.672,-122.672,-1.124865,below_trend,2026-03-19
nextlevelbuilder/ui-ux-pro-max-skill,45106,28,Python,0.000621,0.621,133.311,-105.311,-0.965675,near_trend,2026-03-19
karpathy/autoresearch,42073,8,Python,0.00019,0.19,121.893,-113.893,-1.04437,below_trend,2026-03-19
tw93/Mole,41539,63,Shell,0.001517,1.517,119.883,-56.883,-0.521601,near_trend,2026-03-19
bmad-code-org/BMAD-METHOD,41272,124,JavaScript,0.003004,3.004,118.878,5.122,0.046969,near_trend,2026-03-19
code-yeongyu/oh-my-openagent,41197,166,TypeScript,0.004029,4.029,118.595,47.405,0.434686,near_trend,2026-03-19
koala73/worldmonitor,40701,60,TypeScript,0.001474,1.474,116.728,-56.728,-0.520183,near_trend,2026-03-19
VoltAgent/awesome-openclaw-skills,39367,63,Sin especificar,0.0016,1.6,111.706,-48.706,-0.446623,near_trend,2026-03-19
thedotmack/claude-mem,38098,71,TypeScript,0.001864,1.864,106.929,-35.929,-0.32946,near_trend,2026-03-19
ruvnet/RuView,38091,8,Rust,0.00021,0.21,106.903,-98.903,-0.906911,near_trend,2026-03-19
gsd-build/get-shit-done,34805,68,JavaScript,0.001954,1.954,94.532,-26.532,-0.243294,near_trend,2026-03-19
google/langextract,34788,17,Python,0.000489,0.489,94.468,-77.468,-0.710363,near_trend,2026-03-19
HKUDS/nanobot,34672,180,Python,0.005192,5.192,94.032,85.968,0.788306,near_trend,2026-03-19
asgeirtj/system_prompts_leaks,34619,18,HTML,0.00052,0.52,93.832,-75.832,-0.695359,near_trend,2026-03-19
666ghj/MiroFish,34336,2,Python,5.8e-05,0.058,92.767,-90.767,-0.832306,near_trend,2026-03-19
KeygraphHQ/shannon,33989,6,TypeScript,0.000177,0.177,91.46,-85.46,-0.783648,near_trend,2026-03-19
shareAI-lab/learn-claude-code,32127,2,TypeScript,6.2e-05,0.062,84.451,-82.451,-0.756051,near_trend,2026-03-19
Fission-AI/OpenSpec,32027,45,TypeScript,0.001405,1.405,84.074,-39.074,-0.358301,near_trend,2026-03-19
bytedance/deer-flow,31707,129,Python,0.004069,4.069,82.87,46.13,0.423002,near_trend,2026-03-19
wshobson/agents,31623,43,Python,0.00136,1.36,82.553,-39.553,-0.362694,near_trend,2026-03-19
ChromeDevTools/chrome-devtools-mcp,30076,65,TypeScript,0.002161,2.161,76.73,-11.73,-0.107557,near_trend,2026-03-19
farion1231/cc-switch,29925,68,Rust,0.002272,2.272,76.161,-8.161,-0.074836,near_trend,2026-03-19
microsoft/playwright-mcp,29221,63,TypeScript,0.002156,2.156,73.511,-10.511,-0.096382,near_trend,2026-03-19
paperclipai/paperclip,29019,50,TypeScript,0.001723,1.723,72.75,-22.75,-0.208616,near_trend,2026-03-19
hesreallyhim/awesome-claude-code,29008,16,Python,0.000552,0.552,72.709,-56.709,-0.520006,near_trend,2026-03-19
datawhalechina/hello-agents,28440,68,Python,0.002391,2.391,70.571,-2.571,-0.023573,near_trend,2026-03-19
zeroclaw-labs/zeroclaw,27880,177,Rust,0.006349,6.349,68.463,108.537,0.995258,near_trend,2026-03-19
lbjlaq/Antigravity-Manager,26586,48,Rust,0.001805,1.805,63.591,-15.591,-0.142968,near_trend,2026-03-19
hesamsheikh/awesome-openclaw-usecases,25965,24,Sin especificar,0.000924,0.924,61.253,-37.253,-0.341604,near_trend,2026-03-19
github/awesome-copilot,25913,283,Python,0.010921,10.921,61.058,221.942,2.03515,above_trend,2026-03-19
zama-ai/fhevm,25666,65,Rust,0.002533,2.533,60.128,4.872,0.044676,near_trend,2026-03-19
sickn33/antigravity-awesome-skills,25661,137,Python,0.005339,5.339,60.109,76.891,0.705069,near_trend,2026-03-19
badlogic/pi-mono,25508,156,TypeScript,0.006116,6.116,59.533,96.467,0.884575,near_trend,2026-03-19
permissionlesstech/bitchat,25428,46,Swift,0.001809,1.809,59.232,-13.232,-0.121333,near_trend,2026-03-19
sipeed/picoclaw,25380,165,Go,0.006501,6.501,59.051,105.949,0.971521,near_trend,2026-03-19
apple/container,25354,78,Swift,0.003076,3.076,58.953,19.047,0.174653,near_trend,2026-03-19
firecrawl/open-lovable,24480,11,TypeScript,0.000449,0.449,55.663,-44.663,-0.409548,near_trend,2026-03-19
zai-org/Open-AutoGLM,24409,13,Python,0.000533,0.533,55.396,-42.396,-0.388758,near_trend,2026-03-19
qwibitai/nanoclaw,24121,42,TypeScript,0.001741,1.741,54.312,-12.312,-0.112894,near_trend,2026-03-19
garrytan/gstack,24018,4,TypeScript,0.000167,0.167,53.924,-49.924,-0.457788,near_trend,2026-03-19
microsoft/VibeVoice,23797,11,Python,0.000462,0.462,53.092,-42.092,-0.385971,near_trend,2026-03-19
resemble-ai/chatterbox,23734,16,Python,0.000674,0.674,52.855,-36.855,-0.337947,near_trend,2026-03-19
BloopAI/vibe-kanban,23412,57,Rust,0.002435,2.435,51.642,5.358,0.049127,near_trend,2026-03-19
vercel-labs/agent-browser,23397,86,Rust,0.003676,3.676,51.586,34.414,0.315567,near_trend,2026-03-19
toon-format/toon,23351,35,TypeScript,0.001499,1.499,51.413,-16.413,-0.150501,near_trend,2026-03-19
vercel-labs/agent-skills,23310,18,JavaScript,0.000772,0.772,51.259,-33.259,-0.304971,near_trend,2026-03-19
davila7/claude-code-templates,23177,56,Python,0.002416,2.416,50.758,5.242,0.048069,near_trend,2026-03-19
DayuanJiang/next-ai-draw-io,23091,47,TypeScript,0.002035,2.035,50.434,-3.434,-0.031489,near_trend,2026-03-19
ZhuLinsen/daily_stock_analysis,22724,54,Python,0.002376,2.376,49.052,4.948,0.045368,near_trend,2026-03-19
deepseek-ai/DeepSeek-OCR,22723,1,Python,4.4e-05,0.044,49.049,-48.049,-0.440593,near_trend,2026-03-19
a2aproject/A2A,22637,135,Shell,0.005964,5.964,48.725,86.275,0.791118,near_trend,2026-03-19
VectifyAI/PageIndex,22204,8,Python,0.00036,0.36,47.095,-39.095,-0.358489,near_trend,2026-03-19
oraios/serena,21731,140,Python,0.006442,6.442,45.314,94.686,0.868242,near_trend,2026-03-19
SuperClaude-Org/SuperClaude_Framework,21662,42,Python,0.001939,1.939,45.054,-3.054,-0.028009,near_trend,2026-03-19
ruvnet/ruflo,21635,19,TypeScript,0.000878,0.878,44.953,-25.953,-0.23798,near_trend,2026-03-19
charmbracelet/crush,21608,102,Go,0.00472,4.72,44.851,57.149,0.524039,near_trend,2026-03-19
googleworkspace/cli,21454,38,Rust,0.001771,1.771,44.271,-6.271,-0.057507,near_trend,2026-03-19
PicoTrex/Awesome-Nano-Banana-images,21453,8,Sin especificar,0.000373,0.373,44.268,-36.268,-0.332565,near_trend,2026-03-19
OpenListTeam/OpenList,21412,233,Go,0.010882,10.882,44.113,188.887,1.732039,above_trend,2026-03-19
basecamp/omarchy,21271,363,Shell,0.017065,17.065,43.583,319.417,2.92897,above_trend,2026-03-19
usestrix/strix,21033,23,Python,0.001094,1.094,42.687,-19.687,-0.18052,near_trend,2026-03-19
winfunc/opcode,20991,14,TypeScript,0.000667,0.667,42.528,-28.528,-0.261598,near_trend,2026-03-19
QwenLM/qwen-code,20730,363,TypeScript,0.017511,17.511,41.546,321.454,2.947645,above_trend,2026-03-19
enescingoz/awesome-n8n-templates,20292,10,Sin especificar,0.000493,0.493,39.897,-29.897,-0.274147,near_trend,2026-03-19
